runtime,solution cost,initial solution cost,min f value,root g value,iterations,group size,runtime of initial solution,area under curve,preprocessing runtime,solver name,instance name
10.002,-1,-1,1073744083,1073744083,1,-1,10.002,2.18727e+06,0.0384886,LNS(EECBS;PP),lns_agents_fileNamespaceagents30height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00021,-1,-1,1411,1411,1,-1,1.00021,0.297259,0.0316575,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00428,-1,-1,1411,1411,1,-1,1.00428,6.04046,0.0682245,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00003,785,785,785,785,615,5,0.00185574,0,0.0209595,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00086,1382,1382,1382,1382,465,5,0.00236492,0,0.0581787,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
6.14578,-1,-1,1411,1411,1,-1,6.14578,7265.85,0.0611001,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.00799,-1,-1,1411,1411,1,-1,1.00799,11.2884,0.0443323,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
1.0001,1382,1382,1382,1382,389,5,0.00294617,0,0.034994,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout1trials1width100.agents
2.0002,1413,1413,1413,1413,685,5,0.0026906,0,0.0263038,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials1width100.agents
2.00005,1413,1413,1413,1413,685,5,0.00233474,0,0.0266471,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials1width100.agents
2.00007,1413,1413,1413,1413,682,5,0.00236441,0,0.0293232,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.01timeout2trials1width100.agents
2.02501,-1,-1,1073743158,1073743158,1,-1,2.02501,2.68491e+07,0.0326472,LNS(EECBS;PP),lns_agents_fileNamespaceagents20height100memory_limit16obs_density0.1timeout2trials1width100.agents
